Characters,Pinyin,English,HSK Level
难,nán,difficult; not good,3
难过,nán guò,feel sorry; be grieved; sad,3
年级,nián jí,grade (school),3
年轻,nián qīng,young,3
鸟,niǎo,bird,3
努力,nǔ lì,to strive; great effort,3
爬山,pá shān,to climb a mountain; hiking,3
盘子,pán zi,plate; tray; dish,3
胖,pàng,fat; plump,3
啤酒,pí jiǔ,beer,3
皮鞋,pí xié,leather shoes,3
瓶子,píng zi,bottle,3
其实,qí shí,actually; in fact; really,3
其他,qí tā,other; others; else,3
奇怪,qí guài,strange; odd,3
骑,qí,to ride (animal or bike),3
起飞,qǐ fēi,to take off (airplane),3
起来,qǐ lái,to stand up; upward movement,3
清楚,qīng chu,clear; clearly understood,3
请假,qǐng jià,to ask for time off,3
秋,qiū,autumn; fall,3
裙子,qún zi,skirt,3
然后,rán hòu,then; afterwards; after,3
热情,rè qíng,enthusiastic; passion; cordial,3
认为,rèn wéi,to think; to believe; to consider,3
认真,rèn zhēn,conscientious; serious; earnest,3
容易,róng yì,easy; likely; liable,3
如果,rú guǒ,if; in case; in the event that,3
伞,sǎn,umbrella; parasol,3
上网,shàng wǎng,to go online; to use the internet,3
声音,shēng yīn,voice; sound,3
生气,shēng qì,angry; to get angry,3
世界,shì jiè,world,3
试,shì,to test; to try; examination,3
瘦,shòu,thin; lean; tight,3
叔叔,shū shu,uncle (father's younger brother),3
舒服,shū fu,comfortable; feeling well,3
数学,shù xué,mathematics,3
树,shù,tree,3
刷牙,shuā yá,to brush teeth,3
双,shuāng,pair; double; both,3
水平,shuǐ píng,level; standard; horizontal,3
司机,sī jī,driver; chauffeur,3
太阳,tài yáng,sun,3
特别,tè bié,especially; special; unusual,3
疼,téng,to hurt; ache; pain; love fondly,3
提高,tí gāo,to raise; to increase,3
体育,tǐ yù,sports; physical education,3
甜,tián,sweet,3
条,tiáo,strip; classifier for long thin things,3
同事,tóng shì,colleague; co-worker,3
同意,tóng yì,to agree; to consent; to approve,3
头发,tóu fa,hair (on the head),3
突然,tū rán,sudden; abrupt; unexpected,3
图书馆,tú shū guǎn,library,3
腿,tuǐ,leg,3
完成,wán chéng,to complete; to accomplish,3
碗,wǎn,bowl; cup,3
万,wàn,ten thousand; a great number,3
忘记,wàng jì,to forget,3
为,wèi,because of; for; to,3
为了,wèi le,in order to; for the purpose of,3
位,wèi,position; classifier for people (honorific),3
文化,wén huà,culture; civilization,3
西,xī,west,3
习惯,xí guàn,habit; custom; to be used to,3
洗手间,xǐ shǒu jiān,toilet; washroom; bathroom,3
洗澡,xǐ zǎo,to bathe; to take a shower,3
夏,xià,summer,3
先,xiān,first; early; prior; in advance,3
相信,xiāng xìn,to believe; to be convinced,3
香蕉,xiāng jiāo,banana,3
像,xiàng,to look like; similar to; to seem,3
向,xiàng,direction; towards; to face,3
小心,xiǎo xīn,to be careful; to take care,3
校长,xiào zhǎng,principal; headmaster; president,3
新闻,xīn wén,news,3
新鲜,xīn xiān,fresh; freshness,3
信用卡,xìn yòng kǎ,credit card,3
行李箱,xíng lǐ xiāng,suitcase,3
熊猫,xióng māo,panda,3
需要,xū yào,to need; to require; needs,3
选择,xuǎn zé,to select; choice; option,3
要求,yāo qiú,to request; to require; demand,3
爷爷,yé ye,paternal grandfather,3
一直,yī zhí,straight; continuously; always,3
一定,yí dìng,surely; certainly; must,3
一共,yī gòng,altogether; in total,3
一会儿,yī huì er,a while; a moment,3
一样,yī yàng,same; equal; just like,3
以前,yǐ qián,before; formerly; previously,3
一般,yī bān,ordinary; common; generally,3
一边,yī biān,one side; on one hand; while doing,3
音乐,yīn yuè,music,3
银行,yín háng,bank,3
饮料,yǐn liào,drink; beverage,3
应该,yīng gāi,should; ought to; must,3
影响,yǐng xiǎng,influence; to affect; effect,3
用,yòng,to use; to employ; expense,3
游戏,yóu xì,game; play,3
有名,yǒu míng,famous; well-known,3
又,yòu,again; also; both…and…,3
遇到,yù dào,to meet; to run into; to encounter,3
元,yuán,yuan (RMB); first; primary,3
愿意,yuàn yì,willing; to wish; to want,3
月亮,yuè liang,moon,3
越,yuè,to exceed; the more…the more,3
站,zhàn,station; to stand; to stop,3
张,zhāng,classifier for flat objects; sheet,3
长,zhǎng,to grow; to develop; elder,3
着急,zháo jí,to worry; to feel anxious,3
照顾,zhào gu,to take care of; to look after,3
照片,zhào piàn,photo; photograph,3
照相机,zhào xiàng jī,camera,3
只,zhǐ,only; just; merely; classifier (single),3
只有…才…,zhǐ yǒu…cái…,only if… then…,3
中间,zhōng jiān,between; middle; mid,3
中文,zhōng wén,Chinese (written language),3
终于,zhōng yú,finally; at last; eventually,3
种,zhǒng,kind; sort; type; classifier,3
重要,zhòng yào,important; significant,3
周末,zhōu mò,weekend,3
主要,zhǔ yào,main; principal; major,3
注意,zhù yì,to pay attention to; to take note,3
自己,zì jǐ,self; own; oneself,3
自行车,zì xíng chē,bicycle; bike,3
总是,zǒng shì,always,3
嘴,zuǐ,mouth; beak; spout,3
最后,zuì hòu,final; last; finally,3
最近,zuì jìn,recently; lately; nearest,3
作业,zuò yè,homework; assignment; task,3
